Nama Gudang;Kode1;Kode2;Kode3;Kota;kodekab;Provinsi
Kutacane;E304;B401;D3CI;KAB. ACEH TENGGARA;1102;ACEH
Aceh Tengah;E397;B4CB;D3CG;KAB. ACEH TENGAH;1104;ACEH
Takengon;E3AP;D3HE;;KAB. ACEH TENGAH;1104;ACEH
Meulaboh;E395;B4AS;D3HB;KAB. ACEH BARAT;1105;ACEH
Aceh Besar;E302;B3GF;D3HC;KAB. ACEH BESAR;1106;ACEH
Sigli;E3AY;B3HI;D3GM;KAB. PIDIE;1107;ACEH
Blang Pidie;E392;B403;D3CH;KAB. ACEH BARAT DAYA;1112;ACEH
Nagan Raya;E3AX;B3HS;D3HF;KAB. NAGAN RAYA;1115;ACEH
Lhokseumawe;E391;B402;D3CJ;KOTA LHOKSEUMAWE;1173;ACEH
Langsa;E3AU;B3H1;D3HA;KOTA LANGSA;1174;ACEH
Subulussalam;E396;B4AT;D3HD;KOTA SUBULUSSALAM;1175;ACEH
Sibolga II;E399;B405;D3DC;KAB. TAPANULI TENGAH;1201;SUMATERA UTARA
Tapanuli Utara;E388;B4BV;D3DF;KAB. TAPANULI UTARA;1202;SUMATERA UTARA
Tanah Karo;E3A5;B410;D3DE;KAB. KARO;1206;SUMATERA UTARA
Kabanjahe;E305;D3HL;;KAB. KARO;1206;SUMATERA UTARA
Binjai;E3A7;B4CM;D3CV;KAB. DELI SERDANG;1207;SUMATERA UTARA
Asahan;E310;D3HK;;KAB. ASAHAN;1209;SUMATERA UTARA
Asahan II;E3A2;B407;D3CT;KAB. ASAHAN;1209;SUMATERA UTARA
Rantau Prapat;E308;B3GY;D3GB;KAB. LABUHAN BATU;1210;SUMATERA UTARA
Sidikalang;E311;D3HI;;KAB. DAIRI;1211;SUMATERA UTARA
Sidikalang II;E3AN;D3HJ;;KAB. DAIRI;1211;SUMATERA UTARA
Dairi;E3A4;B409;D3CW;KAB. DAIRI;1211;SUMATERA UTARA
Balige;E307;B3GZ;D3GC;KAB. TOBA SAMOSIR;1212;SUMATERA UTARA
Humbang Hasunduntan;E389;D3HO;;KAB. HUMBANG HASUNDUTAN;1216;SUMATERA UTARA
Humbang Hasunduntan II;E3A0;B4CN;D3CX;KAB. HUMBANG HASUNDUTAN;1216;SUMATERA UTARA
Serdang Bedagai;E3AO;B411;D3DB;KAB. SERDANG BEDAGAI;1218;SUMATERA UTARA
Padang Lawas;E3AB;B4BS;D3HP;KAB. PADANG LAWAS;1221;SUMATERA UTARA
DC Medan II;E398;B202;D3HG;KOTA MEDAN;1271;SUMATERA UTARA
Simalungun;E3A3;B408;D3DD;KOTA PEMATANG SIANTAR;1272;SUMATERA UTARA
Siantar;E306;D3HM;;KOTA PEMATANG SIANTAR;1272;SUMATERA UTARA
Sibolga;E233;;;KOTA SIBOLGA;1273;SUMATERA UTARA
